код_сотрудник,код_курс,должность,отдел,пол,возраст,опыт_работы,оценка_итог,статус
студент_1,курс_1,Начальник отдела,Отдел качества,муж,29,3,75.94195688225538,прошел курс
студент_2,курс_1,Рабочий,Отдел производства,муж,24,24,74.75787728026533,прошел курс
студент_3,курс_1,Специалист по рекламе,Отдел продаж,жен,31,20,75.04975124378109,прошел курс
студент_4,курс_1,Кладовщик,Отдел закупок,жен,31,23,75.11111111111111,прошел курс
студент_5,курс_1,Начальник отдела,Отдел качества,жен,38,10,,не закончил
студент_6,курс_1,Консультант,Отдел продаж,муж,23,7,,не закончил
студент_7,курс_1,Инженер,Отдел производства,жен,53,4,74.59535655058043,прошел курс
студент_8,курс_1,Аналитик,Отдел закупок,муж,27,29,,не закончил
студент_9,курс_1,Инженер по безопасности,Отдел IT,муж,44,8,75.3101160862355,прошел курс
студент_10,курс_1,Техник поддержки,Отдел IT,муж,38,9,74.09950248756219,прошел курс
студент_11,курс_1,Техник поддержки,Отдел IT,муж,55,24,74.96683250414594,прошел курс
студент_12,курс_1,HR-менеджер,Отдел кадров,жен,52,5,75.60364842454395,прошел курс
студент_13,курс_1,Логист,Отдел закупок,жен,50,15,75.65505804311775,прошел курс
студент_14,курс_1,Системный администратор,Отдел IT,муж,44,3,75.95688225538971,прошел курс
студент_15,курс_1,Начальник отдела,Отдел IT,жен,59,4,75.06965174129353,прошел курс
студент_16,курс_1,Техник поддержки,Отдел IT,жен,39,23,75.46268656716418,прошел курс
студент_17,курс_1,Техник,Отдел производства,жен,55,15,74.7927031509121,прошел курс
студент_18,курс_1,HR-менеджер,Отдел кадров,муж,39,2,74.45107794361526,прошел курс
студент_19,курс_1,Кладовщик,Отдел закупок,жен,38,5,75.44941956882255,прошел курс
студент_20,курс_1,Инспектор,Отдел качества,жен,50,14,75.50580431177445,прошел курс
студент_21,курс_1,Инспектор по кадрам,Отдел кадров,жен,23,25,75.1077943615257,прошел курс
студент_22,курс_1,Техник по качеству,Отдел качества,муж,32,21,75.56384742951907,прошел курс
студент_23,курс_1,Инженер,Отдел производства,муж,26,10,75.2072968490879,прошел курс
студент_24,курс_1,Начальник отдела,Отдел кадров,муж,30,21,75.7363184079602,прошел курс
студент_25,курс_1,Аналитик продаж,Отдел продаж,жен,38,22,74.56218905472637,прошел курс
студент_26,курс_1,Инспектор,Отдел качества,жен,59,11,75.19237147595356,прошел курс
студент_27,курс_1,Мастер,Отдел производства,жен,32,14,74.70315091210614,прошел курс
студент_28,курс_1,Менеджер по снабжению,Отдел закупок,жен,28,19,75.61359867330016,прошел курс
студент_29,курс_1,Рабочий,Отдел производства,муж,53,3,75.11940298507463,прошел курс
студент_30,курс_1,Аналитик продаж,Отдел продаж,муж,49,8,75.14427860696517,прошел курс
студент_31,курс_1,Начальник отдела,Отдел качества,муж,23,23,,не закончил
студент_32,курс_1,Начальник отдела,Отдел IT,муж,52,25,75.0,прошел курс
студент_33,курс_1,Начальник смены,Отдел производства,жен,31,29,73.30182421227197,прошел курс
студент_34,курс_1,Техник по качеству,Отдел качества,муж,21,16,74.90878938640132,прошел курс
студент_35,курс_1,Мастер,Отдел производства,муж,56,2,74.23383084577114,прошел курс
студент_36,курс_1,Менеджер по качеству,Отдел качества,муж,26,7,74.64842454394693,прошел курс
студент_37,курс_1,Рекрутер,Отдел кадров,жен,57,6,75.0016583747927,прошел курс
студент_38,курс_1,Логист,Отдел закупок,жен,52,4,75.14427860696517,прошел курс
студент_39,курс_1,Рекрутер,Отдел кадров,жен,58,20,,не закончил
студент_40,курс_1,Кладовщик,Отдел закупок,жен,53,25,76.29187396351576,прошел курс
студент_41,курс_1,Инспектор по кадрам,Отдел кадров,жен,60,23,74.6882255389718,прошел курс
студент_42,курс_1,Менеджер по качеству,Отдел качества,жен,46,1,75.3665008291874,прошел курс
студент_43,курс_1,Менеджер по качеству,Отдел качества,жен,30,26,,не закончил
студент_44,курс_1,Начальник смены,Отдел производства,жен,29,23,74.96517412935323,прошел курс
студент_45,курс_1,HR-менеджер,Отдел кадров,муж,25,19,75.88557213930348,прошел курс
студент_46,курс_1,HR-менеджер,Отдел кадров,жен,51,30,75.86898839137645,прошел курс
студент_47,курс_1,Аналитик продаж,Отдел продаж,муж,52,14,74.95024875621891,прошел курс
студент_48,курс_1,Торговый представитель,Отдел продаж,муж,55,29,74.80265339966833,прошел курс
студент_49,курс_1,Аналитик,Отдел закупок,муж,28,19,75.36484245439469,прошел курс
студент_50,курс_1,Торговый представитель,Отдел продаж,жен,52,3,74.46766169154229,прошел курс
студент_51,курс_1,Инженер,Отдел производства,жен,22,13,75.06965174129353,прошел курс
студент_52,курс_1,Менеджер по качеству,Отдел качества,жен,26,25,75.58540630182421,прошел курс
студент_53,курс_1,Аналитик продаж,Отдел продаж,жен,59,4,,не закончил
студент_54,курс_1,Контролер,Отдел качества,муж,60,13,75.21890547263682,прошел курс
студент_55,курс_1,Кладовщик,Отдел закупок,жен,42,11,75.62354892205639,прошел курс
студент_56,курс_1,Мастер,Отдел производства,жен,30,24,,не закончил
студент_57,курс_1,Техник,Отдел производства,жен,34,9,76.56882255389718,прошел курс
студент_58,курс_1,Специалист по рекламе,Отдел продаж,жен,42,14,75.4776119402985,прошел курс
студент_59,курс_1,Консультант,Отдел продаж,муж,27,7,75.25704809286898,прошел курс
студент_60,курс_1,Торговый представитель,Отдел продаж,жен,20,24,75.72636815920399,прошел курс
студент_61,курс_1,Торговый представитель,Отдел продаж,жен,55,26,75.26865671641791,прошел курс
студент_62,курс_1,Техник поддержки,Отдел IT,муж,29,22,75.5240464344942,прошел курс
студент_63,курс_1,Аналитик,Отдел закупок,муж,49,19,74.41791044776119,прошел курс
студент_64,курс_1,Техник,Отдел производства,жен,54,6,75.17412935323384,прошел курс
студент_65,курс_1,Программист,Отдел IT,муж,25,9,,не закончил
студент_66,курс_1,Программист,Отдел IT,жен,45,14,75.21890547263682,прошел курс
студент_67,курс_1,Менеджер по продажам,Отдел продаж,муж,49,10,75.07131011608624,прошел курс
студент_68,курс_1,Программист,Отдел IT,муж,52,29,74.25207296849088,прошел курс
студент_69,курс_1,Кладовщик,Отдел закупок,муж,44,3,74.18242122719735,прошел курс
студент_70,курс_1,Техник поддержки,Отдел IT,жен,46,5,74.66003316749585,прошел курс
студент_71,курс_1,Начальник отдела,Отдел IT,муж,44,20,74.61691542288557,прошел курс
студент_72,курс_1,Кладовщик,Отдел закупок,жен,42,14,75.33665008291874,прошел курс
студент_73,курс_1,Рабочий,Отдел производства,жен,56,26,73.45273631840796,прошел курс
студент_74,курс_1,Техник поддержки,Отдел IT,жен,55,18,75.17081260364843,прошел курс
студент_75,курс_1,Контролер,Отдел качества,муж,37,30,75.38142620232172,прошел курс
студент_76,курс_1,Менеджер по продажам,Отдел продаж,жен,32,11,,не закончил
студент_77,курс_1,Техник,Отдел производства,жен,38,25,74.7412935323383,прошел курс
студент_78,курс_1,Менеджер по снабжению,Отдел закупок,жен,26,21,74.72139303482587,прошел курс
студент_79,курс_1,Начальник отдела,Отдел качества,муж,58,20,74.08457711442786,прошел курс
студент_80,курс_1,Начальник смены,Отдел производства,жен,23,17,75.51575456053068,прошел курс
студент_81,курс_1,Аналитик,Отдел закупок,жен,37,19,,не закончил
студент_82,курс_1,Рекрутер,Отдел кадров,муж,43,19,74.27529021558873,прошел курс
студент_83,курс_1,HR-менеджер,Отдел кадров,жен,30,26,74.49419568822555,прошел курс
студент_84,курс_1,Программист,Отдел IT,жен,54,17,74.92371475953566,прошел курс
студент_85,курс_1,HR-менеджер,Отдел кадров,жен,21,20,75.73134328358209,прошел курс
студент_86,курс_1,Кладовщик,Отдел закупок,муж,31,24,75.14427860696517,прошел курс
студент_87,курс_1,Менеджер по продажам,Отдел продаж,жен,24,11,,не закончил
студент_88,курс_1,Логист,Отдел закупок,муж,45,14,,не закончил
